condition	growth_unconstrained	growth_constrained	growth_change_pct	glyoxylate_unconstrained	glyoxylate_constrained	POR_unconstrained	POR_constrained	RuBisCO_unconstrained	RuBisCO_constrained	total_flux_unconstrained	total_flux_constrained
succinate	10.589936423156502	10.56058117818297	-0.27719944483653586	2.366216347483145	0.0	89.05126475362624	91.5110645081386	-4.3323377663446285	-4.320328550107976	9537.522743762189	9543.020685089303
acetate	10.702006077109315	10.702006077109315	0.0	2.3912572010487563	2.3912572010487563	91.19702860294753	91.19702860294753	-4.378185406487305	-4.378185406487305	9516.405057779868	9516.405057779868
butyrate	10.812601130342415	10.812601130342415	0.0	2.415968569697965	2.415968569697965	89.76192713846517	89.76192713846517	-4.423429788207761	-4.423429788207761	9474.815442663605	9474.815442663605
