substrate	atp_cap	status	max_growth	growth_at_h2_max	h2_flux	h2_yield_per_100C	substrate_flux	atp_synthase_flux	nitrogenase_flux	photon_uptake	photosynthetic_rc
acetate	2.25	optimal	9.015716411775287	7.21257312942023	90.59114620443002	452.9557310221501	10.0	2.25	0.0	0.0	0.0
succinate	1.9041666666666668	optimal	8.843472531194449	7.07477802495556	89.56846965117276	447.8423482558638	5.0	1.9041666666666668	0.0	0.0	0.0
butyrate	2.3625000000000003	optimal	9.13782562993793	7.310260503950345	91.92886492604721	459.64432463023604	5.0	2.3625000000000003	0.0	0.0	0.0
